,02/28,02/29,03/01,03/02,03/03,03/04,03/05
01,6.107,6.772,2.814,6.159,4.103,6.75,1.268
02,5.593,6.772,2.814,6.159,4.103,6.75,1.268
03,5.339,6.772,2.814,6.159,4.103,6.75,1.268
04,5.085,6.772,2.814,6.159,4.103,6.75,1.268
05,4.83,6.772,2.814,6.159,4.103,6.75,1.268
06,4.476,6.772,2.814,6.159,4.103,6.75,1.268
07,4.588,6.251,6.181,0.0,2.52,3.617,0.625
08,6.202,6.345,6.285,0.0,2.623,3.656,0.665
09,9.673,6.444,6.393,0.0,2.732,3.682,0.692
10,11.537,6.525,6.483,0.0,2.821,3.709,0.72
11,12.453,6.583,6.547,0.0,2.885,3.746,0.758
12,11.215,6.615,6.582,0.0,2.92,3.774,0.787
13,11.568,9.718,13.904,0.0,5.865,5.133,11.933
14,11.425,9.707,13.892,0.0,5.829,5.123,11.896
15,11.166,9.677,13.859,0.0,5.757,5.094,11.822
16,10.466,9.624,13.803,0.0,5.653,5.044,11.715
17,6.718,9.57,13.745,0.0,5.524,4.992,11.584
18,5.933,9.53,13.702,0.0,5.391,4.955,11.448
19,5.266,8.473,7.579,4.984,3.088,2.224,17.9
20,3.632,8.473,7.579,4.984,3.088,2.224,17.9
21,3.604,8.473,7.579,4.984,3.088,2.224,17.9
22,3.562,8.473,7.579,4.984,3.088,2.224,17.9
23,4.164,8.473,7.579,4.984,3.088,2.224,17.9
24,6.745,8.473,7.579,4.984,3.088,2.224,17.9
